ID,Employee Satisfaction,Employer Ratings,Monthly working hours
3070,0.99,0.75,208
3071,0.96,0.82,274
3072,0.24,0.7,147
3073,0.45,0.39,167
3074,0.74,0.96,154
3075,0.6,0.98,195
3076,0.67,0.56,237
3077,0.57,0.99,222
3078,0.87,0.71,145
3079,0.25,0.83,257
3080,0.98,0.84,286
3081,0.3,0.64,137
3082,0.21,0.52,130
3083,0.56,0.7,214
3084,0.75,0.96,138
3085,0.5,0.77,166
3086,0.61,0.92,159
3087,0.83,0.59,160
3088,0.66,0.76,155
3089,0.84,0.68,231
3090,0.87,0.57,227
3091,0.48,0.37,181
3092,0.84,0.79,222
3093,0.49,0.71,196
3094,0.67,0.93,206
3095,0.12,0.93,257
3096,0.99,0.67,153
3097,0.17,0.59,250
3098,0.58,0.66,250
3099,0.5,0.73,148
3100,0.35,0.69,141
3101,0.93,0.95,147
3102,0.73,0.87,142
3103,0.91,0.54,210
3104,0.72,0.66,152
3105,0.51,0.39,149
3106,0.55,0.92,198
3107,0.66,0.76,139
3108,0.84,0.41,255
3109,0.81,0.8,229
3110,0.81,0.69,134
3111,0.5,0.75,255
3112,0.78,0.68,189
3113,0.76,0.74,183
3114,0.49,0.71,154
3115,0.99,0.61,167
3116,0.73,0.48,139
3117,0.88,0.74,245
3118,0.79,0.91,200
3119,0.83,0.98,159
3120,0.21,0.44,163
3121,0.87,0.52,158
3122,1,0.89,194
3123,0.49,0.98,267
3124,0.51,0.63,183
3125,0.63,0.64,174
3126,0.91,0.63,240
3127,0.54,0.5,123
3128,1,0.59,174
3129,0.64,0.91,246
3130,0.65,0.96,173
3131,0.15,0.93,185
3132,0.81,0.83,259
3133,0.61,0.83,112
3134,0.86,0.55,219
3135,0.71,0.62,258
3136,0.72,0.82,287
3137,0.84,0.37,186
3138,0.38,0.74,159
3139,0.75,0.56,230
3140,0.93,0.77,106
3141,0.71,0.64,189
3142,0.75,0.96,252
3143,0.56,0.68,220
3144,0.57,0.82,218
3145,0.63,0.83,145
3146,0.59,0.91,142
3147,0.77,0.62,218
3148,0.65,0.7,157
3149,0.84,0.49,178
3150,0.9,0.45,241
3151,0.6,0.83,230
3152,0.9,0.74,249
3153,0.94,0.7,147
3154,0.56,0.9,115
3155,0.95,0.86,143
3156,0.97,0.85,219
3157,0.55,0.63,218
3158,0.79,0.6,235
3159,0.49,0.76,237
3160,0.49,0.58,186
3161,0.57,0.65,177
3162,0.89,0.81,228
3163,0.66,0.59,204
3164,0.94,0.77,210
3165,0.98,0.95,250
3166,0.18,0.52,185
3167,0.57,0.73,146
3168,0.67,0.55,217
3169,0.12,0.61,172
3170,0.48,0.95,184
3171,0.61,0.97,148
3172,0.23,0.52,236
3173,0.4,0.38,280
3174,0.57,0.6,218
3175,0.95,0.98,155
3176,0.93,0.66,242
3177,0.7,0.88,166
3178,0.58,0.9,175
3179,0.52,0.95,234
3180,0.98,0.88,232
3181,0.93,0.94,156
3182,0.34,0.63,248
3183,0.87,0.75,218
3184,0.52,0.96,251
3185,0.58,0.91,173
3186,0.65,0.51,157
3187,0.74,0.59,274
3188,0.63,0.7,182
3189,0.74,0.74,233
3190,0.65,1,249
3191,0.48,0.94,162
3192,0.84,0.75,184
3193,0.6,0.62,135
3194,0.56,0.57,143
3195,0.13,0.8,203
3196,0.83,0.51,143
3197,0.91,0.42,142
3198,0.97,0.97,171
3199,0.9,0.96,223
3200,0.57,0.87,148
3201,0.84,0.79,140
3202,0.84,0.74,226
3203,0.17,0.93,183
3204,0.97,0.86,135
3205,0.94,0.66,236
3206,0.83,0.61,257
3207,0.91,0.73,155
3208,0.9,0.76,211
3209,0.95,0.86,207
3210,0.69,0.95,126
3211,0.49,0.98,267
3212,0.45,0.37,226
3213,0.21,0.9,239
3214,0.67,0.61,202
3215,0.76,0.62,150
3216,0.19,0.78,156
3217,0.52,0.73,233
3218,0.66,0.59,262
3219,0.95,0.67,183
3220,0.95,0.78,225
3221,0.57,0.54,216
3222,0.48,0.57,227
3223,0.95,0.5,242
3224,0.7,0.67,224
3225,0.48,0.61,223
3226,0.62,0.58,202
3227,0.58,0.76,220
3228,1,0.87,129
3229,0.79,0.65,193
3230,0.58,0.73,165
3231,0.59,0.79,209
3232,0.66,0.8,183
3233,0.71,0.59,138
3234,0.9,0.74,152
3235,0.74,0.63,170
3236,0.66,0.93,185
3237,0.92,0.53,249
3238,0.55,0.51,155
3239,0.51,0.43,204
3240,0.49,0.52,188
3241,0.88,0.52,264
3242,0.6,0.8,146
3243,0.93,0.65,212
3244,0.86,0.59,215
3245,0.78,0.98,239
3246,0.69,0.55,188
3247,0.84,0.51,259
3248,0.48,0.62,200
3249,0.63,0.86,245
3250,0.54,0.61,182
3251,0.85,0.53,181
3252,0.51,0.52,164
3253,0.88,0.86,257
3254,0.87,0.93,178
3255,0.54,0.5,224
3256,0.96,0.67,170
3257,0.58,0.75,233
3258,0.21,0.57,239
3259,0.5,0.56,185
3260,0.52,0.54,184
3261,0.5,0.7,188
3262,0.74,0.86,186
3263,0.69,0.63,226
3264,0.61,0.74,143
3265,0.5,0.82,213
3266,0.79,0.53,217
3267,0.73,0.68,190
3268,0.49,0.69,147
3269,0.7,0.77,235
3270,0.27,0.62,136
3271,0.8,0.54,261
3272,0.45,0.6,176
3273,0.63,0.64,212
3274,0.76,0.52,148
3275,0.42,0.74,218
3276,0.41,0.87,262
3277,0.74,0.46,145
3278,0.82,0.75,230
3279,0.82,0.65,210
3280,0.53,0.73,227
3281,0.71,0.77,142
3282,0.5,0.9,171
3283,0.68,0.89,241
3284,0.68,0.99,247
3285,0.48,0.86,246
3286,0.59,0.72,188
3287,0.21,0.7,104
3288,0.99,0.73,197
3289,1,0.88,191
3290,0.84,0.51,173
3291,0.86,0.82,207
3292,0.52,0.54,247
3293,0.94,0.97,197
3294,0.55,0.81,242
3295,0.79,0.59,145
3296,0.91,0.9,174
3297,0.82,0.99,195
3298,0.84,0.94,270
3299,0.72,0.68,238
3300,0.68,0.85,156
3301,0.99,0.96,261
3302,0.74,0.85,135
3303,0.8,0.41,185
3304,0.55,0.55,197
3305,0.56,0.95,241
3306,0.88,0.98,263
3307,0.86,0.49,251
3308,0.64,0.95,218
3309,0.82,0.58,183
3310,0.66,0.8,252
3311,0.64,0.95,98
3312,0.17,0.78,284
3313,0.75,0.68,220
3314,0.45,0.39,275
3315,0.99,0.9,164
3316,0.93,0.67,237
3317,0.88,0.8,133
3318,0.62,0.52,256
3319,0.94,0.88,270
3320,0.59,0.92,196
3321,0.93,0.89,209
3322,0.71,0.39,261
3323,0.6,0.6,221
3324,0.71,0.69,180
3325,0.91,0.57,145
3326,0.78,0.96,111
3327,0.52,0.63,232
3328,0.99,0.7,195
3329,0.86,0.51,211
3330,0.74,0.68,194
3331,0.15,0.84,275
3332,0.57,0.54,140
3333,0.67,0.6,157
3334,0.8,0.93,258
3335,0.83,0.82,273
3336,0.69,0.53,135
3337,0.64,0.83,188
3338,0.95,0.52,222
3339,0.97,0.52,231
3340,0.85,0.86,255
3341,0.72,0.51,254
3342,0.91,0.85,244
3343,0.81,0.83,132
3344,0.13,0.67,234
3345,0.95,0.81,272
3346,0.82,0.54,191
3347,0.63,0.93,238
3348,0.55,0.69,225
3349,0.83,0.95,211
3350,0.54,0.98,217
3351,0.89,0.91,156
3352,0.79,0.55,147
3353,0.56,0.73,134
3354,0.89,0.7,235
3355,1,0.66,238
3356,0.43,0.72,258
3357,0.71,0.55,224
3358,0.98,0.59,149
3359,0.81,0.7,219
3360,0.71,0.53,186
3361,0.99,0.6,259
3362,0.34,0.62,119
3363,0.58,0.91,223
3364,0.77,0.49,184
3365,0.64,0.5,238
3366,0.13,1,157
3367,0.98,0.6,249
3368,0.72,0.84,195
3369,0.55,0.79,162
3370,0.62,0.91,231
3371,0.74,0.91,264
3372,0.69,0.96,210
3373,0.6,0.63,192
3374,0.54,0.43,192
3375,0.56,0.75,249
3376,0.58,0.86,206
3377,0.21,0.66,165
3378,0.52,0.85,183
3379,0.98,0.7,253
3380,0.85,0.97,256
3381,0.62,0.88,263
3382,0.63,0.61,234
3383,0.84,0.97,223
3384,0.71,0.69,172
3385,0.36,0.55,226
3386,0.79,0.56,205
3387,0.59,0.55,235
3388,0.5,0.53,263
3389,0.88,0.66,271
3390,0.65,0.69,131
3391,0.71,0.56,238
3392,0.89,0.54,214
3393,0.83,0.84,267
3394,0.73,0.53,184
3395,0.71,0.67,264
3396,0.53,0.66,109
3397,0.74,0.7,253
3398,0.6,0.52,207
3399,0.47,0.6,263
3400,0.88,0.88,214
3401,0.62,0.67,153
3402,0.24,0.48,123
3403,0.15,0.36,159
3404,0.92,0.82,185
3405,0.74,0.7,167
3406,0.86,0.77,271
3407,0.96,0.61,140
3408,0.54,0.6,141
3409,0.99,0.87,190
3410,0.72,0.73,134
3411,0.96,0.75,176
3412,0.73,0.73,194
3413,0.67,0.44,212
3414,0.58,0.72,234
3415,0.9,0.99,190
3416,0.99,0.37,155
3417,0.89,0.58,232
3418,0.72,0.95,216
3419,0.77,0.8,207
3420,0.8,0.94,200
3421,0.89,0.86,178
3422,0.59,0.81,173
3423,0.24,0.87,268
3424,0.94,0.59,212
3425,0.74,0.5,216
3426,0.63,0.62,212
3427,0.63,0.59,155
3428,0.77,0.65,164
3429,0.87,0.74,209
3430,0.79,0.61,136
3431,0.54,0.84,223
3432,0.59,0.83,239
3433,0.86,0.87,205
3434,0.98,0.68,203
3435,1,0.79,152
3436,0.9,0.79,236
3437,0.34,0.6,114
3438,0.95,0.93,209
3439,0.79,0.48,178
3440,0.13,0.91,175
3441,0.72,0.69,270
3442,0.63,0.54,145
3443,0.81,0.76,134
3444,0.71,0.75,272
3445,0.49,0.76,208
3446,0.59,0.65,219
3447,0.87,0.59,154
3448,0.66,0.6,179
3449,0.78,0.92,137
3450,0.65,0.7,211
3451,0.8,0.97,271
3452,0.56,0.75,192
3453,0.85,0.67,228
3454,0.14,0.46,267
3455,0.74,0.62,272
3456,0.86,0.93,260
3457,0.71,0.96,161
3458,0.83,0.99,226
3459,0.52,0.49,249
3460,0.63,0.8,243
3461,0.92,0.93,247
3462,0.66,0.87,186
3463,0.77,0.7,155
3464,0.74,0.97,135
3465,0.81,0.76,198
3466,0.67,0.55,175
3467,0.75,0.92,192
3468,0.65,0.36,282
3469,0.81,0.6,179
3470,0.57,0.77,245
3471,0.89,0.66,235
3472,0.5,0.56,266
3473,0.21,0.42,269
3474,0.79,0.67,264
3475,0.66,0.57,161
3476,0.82,0.95,203
3477,0.85,0.85,258
3478,0.72,0.96,143
3479,0.52,0.92,214
3480,0.5,0.62,166
3481,0.52,0.82,192
3482,0.13,0.87,185
3483,0.87,0.98,173
3484,0.53,0.98,163
3485,0.15,0.76,277
3486,0.64,0.86,274
3487,0.52,0.44,119
3488,0.79,0.67,267
3489,0.74,0.89,160
3490,0.81,0.84,198
3491,0.94,0.6,193
3492,0.67,0.84,250
3493,0.93,0.84,237
3494,0.52,0.96,170
3495,0.48,0.74,157
3496,0.57,0.92,267
3497,0.71,0.77,192
3498,0.9,0.74,218
3499,0.58,0.61,210
3500,0.66,0.48,229
3501,0.59,0.66,186
3502,0.96,0.5,234
3503,0.13,0.91,149
3504,0.93,0.92,205
3505,0.54,0.72,148
3506,0.54,0.77,270
3507,0.87,0.62,176
3508,0.79,0.91,226
3509,0.83,0.57,232
3510,0.73,0.6,137
3511,0.29,0.42,253
3512,0.8,0.7,231
3513,0.29,0.81,189
3514,0.43,0.85,168
3515,0.99,0.93,261
3516,0.86,0.51,152
3517,0.85,0.78,263
3518,0.66,0.68,258
3519,0.57,0.99,205
3520,0.31,0.64,183
3521,0.88,0.88,153
3522,0.72,0.72,194
3523,0.75,0.66,202
3524,0.82,0.71,164
3525,0.82,0.67,213
3526,0.15,0.52,265
3527,0.16,0.88,218
3528,0.95,0.4,286
3529,0.87,0.73,172
3530,0.85,0.89,251
3531,0.58,0.6,110
3532,0.63,0.86,269
3533,0.69,0.68,151
3534,0.53,0.85,161
3535,0.96,0.71,210
3536,0.73,0.83,167
3537,0.5,0.6,270
3538,0.81,0.83,133
3539,0.82,0.59,249
3540,0.76,0.72,266
3541,0.27,0.82,276
3542,0.64,0.38,215
3543,0.57,0.9,262
3544,0.49,0.84,193
3545,0.66,0.92,102
3546,0.71,0.36,278
3547,0.61,0.63,250
3548,0.52,0.89,193
3549,0.62,0.91,133
3550,0.98,0.65,216
3551,0.67,0.56,174
3552,0.85,0.62,280
3553,0.84,0.85,246
3554,1,0.53,142
3555,0.72,0.76,144
3556,0.66,0.75,100
3557,0.64,0.71,212
3558,1,0.76,201
3559,0.75,0.59,206
3560,0.81,0.77,197
3561,0.31,0.98,232
3562,0.32,0.97,272
3563,0.48,0.5,173
3564,0.62,0.42,124
3565,0.77,0.86,282
3566,0.76,0.8,219
3567,0.68,0.41,106
3568,0.72,0.79,192
3569,0.87,0.91,190
3570,0.59,0.57,156
3571,0.7,0.64,180
3572,0.73,0.81,245
3573,0.58,0.62,169
3574,0.64,0.66,188
3575,0.89,0.66,224
3576,0.95,0.71,263
3577,0.84,0.9,262
3578,0.6,0.99,225
3579,0.71,0.63,224
3580,0.6,0.95,266
3581,0.91,0.68,218
3582,0.75,1,102
3583,0.7,0.67,181
3584,0.23,0.64,150
3585,0.73,0.83,270
3586,0.99,0.49,270
3587,0.62,0.68,265
3588,0.98,0.89,169
3589,0.61,0.94,224
3590,0.52,0.92,150
3591,0.65,0.66,239
3592,0.59,0.9,245
3593,0.71,0.8,182
3594,0.18,0.7,182
3595,0.21,0.93,243
3596,0.15,0.67,209
3597,0.97,0.53,195
3598,0.39,0.48,190
3599,0.35,0.66,140
3600,0.88,0.58,147
3601,0.58,0.97,265
3602,0.61,0.78,238
3603,0.59,0.98,155
3604,0.55,0.41,132
3605,0.52,0.8,257
3606,0.71,0.77,255
3607,0.63,0.82,229
3608,0.17,0.84,216
3609,0.95,0.49,269
3610,1,0.73,205
3611,0.73,0.96,151
3612,0.8,0.64,246
3613,0.63,0.8,256
3614,0.95,0.59,235
3615,0.75,0.83,229
3616,0.64,0.72,158
3617,0.72,1,197
3618,0.72,0.53,151
3619,0.85,0.63,167
3620,0.24,0.94,146
3621,0.69,0.53,281
3622,0.69,0.7,212
3623,0.87,0.59,261
3624,0.78,0.91,238
3625,0.76,0.74,235
3626,0.35,0.7,107
3627,0.88,0.59,243
3628,0.78,0.79,233
3629,0.36,0.42,206
3630,0.24,0.7,172
3631,0.55,0.82,248
3632,0.91,0.53,147
3633,0.66,0.61,259
3634,0.57,0.82,267
3635,0.64,0.64,263
3636,0.63,0.98,160
3637,0.49,0.92,176
3638,0.7,0.7,224
3639,0.3,0.71,155
3640,0.51,0.52,132
3641,0.71,0.87,173
3642,0.64,0.67,165
3643,0.67,0.66,272
3644,0.83,0.94,156
3645,0.92,0.96,154
3646,0.84,0.53,237
3647,0.97,0.75,271
3648,0.19,0.91,152
3649,0.86,0.51,152
3650,0.71,0.69,172
3651,0.76,0.56,214
3652,0.68,0.88,201
3653,0.61,0.99,275
3654,0.85,0.79,156
3655,0.84,0.89,234
3656,0.62,0.63,123
3657,0.77,0.76,201
3658,0.79,0.93,160
3659,0.97,0.5,173
3660,0.59,0.61,141
3661,0.93,0.62,231
3662,0.85,0.54,174
3663,0.7,0.57,211
3664,0.54,0.91,249
3665,0.42,0.86,108
3666,0.96,0.75,165
3667,0.58,0.8,181
3668,0.61,0.59,237
3669,0.62,0.97,180
3670,0.68,0.7,209
3671,0.6,0.73,191
3672,0.7,0.91,181
3673,0.65,0.55,250
3674,0.48,0.59,179
3675,0.75,0.73,225
3676,0.69,0.78,267
3677,0.34,0.46,169
3678,0.59,0.49,164
3679,0.94,0.95,155
3680,0.98,0.77,223
3681,0.72,0.66,160
3682,0.79,0.7,268
3683,0.54,0.61,151
3684,0.73,0.95,156
3685,0.82,0.58,136
3686,0.57,0.45,189
3687,0.98,0.93,203
3688,0.91,0.65,174
3689,0.72,0.91,239
3690,0.48,0.73,152
3691,0.57,0.86,268
3692,0.86,0.96,146
3693,0.63,0.85,232
3694,0.81,0.52,255
3695,0.21,0.37,129
3696,0.9,0.66,261
3697,0.79,0.78,101
3698,0.95,0.49,229
3699,0.29,0.43,162
3700,0.81,0.52,270
3701,0.21,0.56,277
3702,0.7,0.83,261
3703,0.66,0.64,204
3704,0.16,0.86,215
3705,0.72,0.8,219
3706,0.51,0.5,147
3707,0.59,0.63,243
3708,0.66,0.4,155
3709,0.69,0.84,253
3710,0.69,0.94,235
3711,0.89,0.79,257
3712,0.52,0.56,225
3713,0.91,0.91,167
3714,0.96,0.53,224
3715,0.8,0.58,127
3716,0.55,0.77,256
3717,0.93,0.63,233
3718,0.93,0.86,169
3719,0.54,0.48,152
3720,0.48,0.76,236
3721,0.19,0.99,154
3722,0.95,0.71,223
3723,0.96,0.81,211
3724,0.63,0.89,192
3725,0.81,0.8,227
3726,0.5,0.88,265
3727,0.76,0.72,228
3728,0.84,0.49,152
3729,0.2,0.95,169
3730,0.78,0.92,169
3731,0.8,0.68,157
3732,0.94,0.57,251
3733,0.44,0.74,253
3734,0.92,0.85,155
3735,0.54,0.8,232
3736,0.56,0.56,195
3737,0.66,0.69,198
3738,0.8,0.91,246
3739,0.6,0.81,214
3740,0.73,0.73,249
3741,0.55,0.74,211
3742,0.7,0.71,269
3743,0.53,0.68,214
3744,0.9,0.94,231
3745,0.8,0.78,175
3746,0.51,0.6,175
3747,0.86,0.96,238
3748,0.63,0.79,228
3749,0.83,0.93,220
3750,0.85,0.55,233
3751,0.8,0.57,225
3752,0.79,0.97,187
3753,0.37,0.71,117
3754,0.85,0.9,184
3755,0.76,0.56,216
3756,0.99,0.62,140
3757,0.55,0.63,201
3758,0.69,0.69,167
3759,0.68,1,203
3760,0.69,0.9,231
3761,0.65,0.7,141
3762,0.17,0.88,226
3763,0.48,0.65,199
3764,0.65,0.59,192
3765,0.57,0.49,247
3766,0.8,0.67,164
3767,0.8,0.6,234
3768,0.5,0.6,177
3769,0.95,0.87,208
3770,0.69,0.93,233
3771,0.74,0.57,172
3772,0.68,0.59,141
3773,0.68,0.55,213
3774,0.65,0.37,128
3775,0.85,0.92,151
3776,0.49,0.48,247
3777,0.19,0.8,143
3778,0.95,0.61,164
3779,0.63,0.62,183
3780,0.83,0.8,274
3781,0.62,0.78,261
3782,0.74,0.98,200
3783,0.7,0.87,177
3784,0.28,0.38,139
3785,0.39,0.56,228
3786,0.62,0.63,230
3787,0.79,0.54,212
3788,0.87,0.74,265
3789,0.29,0.75,124
3790,0.37,0.88,155
3791,0.68,0.55,215
3792,0.9,0.51,214
3793,0.97,0.65,181
3794,0.6,0.77,229
3795,0.58,0.79,262
3796,0.83,0.86,165
3797,0.83,0.73,136
3798,0.94,0.71,151
3799,0.69,0.9,226
3800,0.81,0.81,215
3801,0.19,0.5,143
3802,0.18,0.64,223
3803,0.58,0.63,271
3804,0.76,0.65,220
3805,0.26,0.47,182
3806,0.78,0.87,190
3807,0.71,0.56,198
3808,0.76,0.61,141
3809,0.44,0.81,248
3810,0.26,0.69,168
3811,0.75,0.57,162
3812,0.64,0.9,211
3813,0.79,0.71,271
3814,0.96,0.61,271
3815,0.63,1,244
3816,0.65,0.55,261
3817,0.76,0.81,225
3818,0.26,0.9,266
3819,0.84,0.73,146
3820,0.74,0.77,233
3821,0.53,0.45,180
3822,0.7,0.56,208
3823,0.62,0.69,165
3824,0.71,0.68,221
3825,0.5,0.65,215
3826,0.53,0.5,264
3827,0.88,0.89,160
3828,0.79,0.83,192
3829,0.69,0.89,201
3830,0.57,0.96,264
3831,0.68,0.8,186
3832,0.6,0.82,272
3833,0.7,0.9,216
3834,0.71,0.76,142
3835,0.49,0.51,133
3836,0.74,0.7,260
3837,0.2,0.93,101
3838,0.57,0.5,230
3839,0.83,0.48,242
3840,0.22,0.64,193
3841,0.67,0.57,234
3842,0.54,0.84,132
3843,0.54,0.53,183
3844,0.64,0.61,191
3845,0.23,0.84,140
3846,0.88,0.87,257
3847,0.83,0.54,219
3848,0.88,0.67,141
3849,0.9,0.85,162
3850,0.49,0.61,181
3851,0.55,0.49,191
3852,0.92,0.69,149
3853,0.72,0.67,164
3854,0.63,0.5,235
3855,0.98,0.66,199
3856,0.76,0.52,248
3857,0.42,0.56,103
3858,0.58,0.65,248
3859,0.85,0.82,153
3860,0.67,0.95,241
3861,0.58,1,258
3862,0.84,0.76,172
3863,0.56,0.68,149
3864,0.63,0.83,217
3865,0.51,0.92,243
3866,0.95,0.81,120
3867,0.85,0.55,137
3868,0.73,0.78,150
3869,0.2,0.49,199
3870,0.78,0.79,203
3871,0.83,0.8,273
3872,0.87,0.56,214
3873,0.98,0.99,141
3874,1,0.81,243
3875,0.7,0.55,159
3876,0.62,0.88,146
3877,0.67,0.72,159
3878,0.86,0.96,196
3879,0.44,0.57,183
3880,0.19,0.86,192
3881,0.76,0.83,246
3882,0.89,0.93,191
3883,0.25,0.97,158
3884,0.68,1,167
3885,0.38,0.5,187
3886,0.64,0.95,199
3887,0.76,0.62,157
3888,0.26,0.45,157
3889,0.69,0.67,178
3890,0.98,0.66,154
3891,0.86,0.83,208
3892,0.14,0.68,273
3893,0.58,0.63,159
3894,0.63,0.97,234
3895,0.7,0.91,139
3896,0.73,0.62,210
3897,0.89,0.52,164
3898,0.17,0.61,241
3899,0.86,0.73,259
3900,0.59,0.73,159
3901,0.22,0.51,131
3902,0.55,0.57,266
3903,0.74,0.6,153
3904,0.55,0.54,253
3905,0.67,0.94,141
3906,0.64,0.8,199
3907,0.58,0.71,205
3908,0.9,0.6,252
3909,0.89,0.9,153
3910,0.74,0.37,171
3911,0.78,0.91,150
3912,0.97,0.53,247
3913,0.52,0.92,150
3914,0.99,0.86,206
3915,0.76,0.44,192
3916,0.69,0.96,164
3917,0.59,0.69,186
3918,0.95,0.63,249
3919,0.69,0.81,214
3920,0.76,0.75,193
3921,0.7,0.84,114
3922,0.87,0.6,122
3923,0.44,0.55,170
3924,0.54,0.91,151
3925,0.55,0.75,156
3926,0.81,0.75,170
3927,0.5,0.55,188
3928,0.93,0.74,201
3929,0.64,0.5,254
3930,0.57,0.78,206
3931,0.95,0.74,216
3932,0.86,0.67,200
3933,0.82,0.58,202
3934,0.18,0.79,217
3935,0.58,0.7,151
3936,0.57,0.56,224
3937,0.94,0.83,148
3938,0.2,0.97,224
3939,0.73,0.75,243
3940,0.94,0.8,238
3941,0.99,0.61,254
3942,0.22,0.49,218
3943,0.67,0.66,237
3944,0.49,0.67,185
3945,0.78,0.95,184
3946,0.15,0.74,176
3947,0.91,0.89,260
3948,0.7,0.78,254
3949,0.6,0.95,221
3950,0.59,0.57,257
3951,0.59,0.93,265
3952,0.55,0.64,138
3953,0.42,0.75,163
3954,0.57,0.81,144
3955,0.72,0.51,146
3956,0.83,0.81,242
3957,0.89,0.93,249
3958,0.55,0.59,245
3959,0.53,0.75,201
3960,0.74,0.59,177
3961,0.63,0.98,160
3962,0.63,0.4,177
3963,0.61,0.97,153
3964,0.76,0.79,197
3965,0.67,0.82,246
3966,0.51,0.95,258
3967,0.67,0.55,137
3968,0.16,0.94,178
3969,0.34,0.85,123
3970,0.58,0.73,162
3971,0.5,0.71,210
3972,0.56,0.48,197
3973,0.56,0.98,220
3974,0.74,0.71,133
3975,0.69,0.99,198
3976,0.15,0.81,160
3977,0.58,0.67,180
3978,0.8,0.79,217
3979,0.5,0.57,223
3980,0.66,0.92,229
3981,0.81,0.78,159
3982,0.14,0.68,253
3983,0.92,0.85,235
3984,0.69,0.91,186
3985,0.66,0.99,263
3986,0.85,0.39,239
3987,0.83,0.69,151
3988,1,0.49,106
3989,0.68,0.65,183
3990,0.26,0.97,125
3991,0.35,0.41,157
3992,0.12,0.58,241
3993,0.91,0.93,184
3994,0.65,0.67,144
3995,0.78,0.72,255
3996,0.61,0.82,261
3997,0.64,0.51,207
3998,0.58,0.73,205
3999,0.63,0.76,217
4000,0.94,0.6,215
4001,0.26,0.81,139
4002,0.59,0.69,146
4003,0.78,0.8,175
4004,0.86,0.64,188
4005,0.79,0.73,155
4006,0.89,0.73,171
4007,0.34,0.99,184
4008,0.29,0.77,164
4009,0.71,0.89,244
4010,0.93,0.58,222
4011,0.94,0.76,231
4012,0.91,0.72,213
4013,0.71,0.96,144
4014,0.67,0.81,221
4015,0.54,0.42,138
4016,0.89,0.58,183
4017,0.94,0.91,250
4018,0.15,0.89,219
4019,0.45,0.92,164
4020,0.92,0.67,161
4021,0.63,0.56,274
4022,0.8,0.66,181
4023,0.45,0.72,148
4024,0.72,0.54,226
4025,0.84,0.36,256
4026,0.61,0.51,141
4027,0.63,0.88,177
4028,0.49,0.54,173
4029,0.68,0.51,196
4030,0.64,0.85,179
4031,0.61,0.64,201
4032,0.83,0.55,247
4033,0.94,0.51,238
4034,0.27,0.66,133
4035,0.6,0.49,194
4036,0.83,0.69,232
4037,0.53,0.75,232
4038,0.79,0.97,204
4039,0.96,0.49,252
4040,0.5,0.56,164
4041,0.68,0.81,266
4042,0.24,0.54,226
4043,0.8,0.8,252
4044,0.62,0.74,155
4045,1,0.85,202
4046,0.64,0.75,214
4047,0.51,0.55,267
4048,0.74,0.5,265
4049,0.49,0.99,221
4050,0.96,0.83,132
4051,0.59,0.62,227
4052,0.84,0.57,234
4053,0.16,0.84,238
4054,0.62,0.75,149
4055,0.79,0.67,152
4056,0.53,0.83,249
4057,0.17,0.48,270
4058,0.57,0.76,200
4059,0.65,0.82,207
4060,0.69,0.74,266
4061,0.3,0.8,250
4062,0.99,0.92,220
4063,0.5,0.69,177
4064,0.54,0.96,147
4065,0.69,0.57,227
4066,0.5,0.85,272
4067,0.66,0.73,244
4068,1,0.93,182
4069,0.15,0.61,146
4070,0.31,0.54,259
4071,0.65,0.49,184
4072,0.72,0.69,149
4073,0.84,0.85,185
4074,0.55,0.8,254
4075,0.6,0.58,249
4076,0.84,0.48,269
4077,0.68,0.87,168
4078,0.13,1,225
4079,0.88,0.98,160
4080,0.64,0.57,149
4081,0.19,0.95,193
4082,0.83,0.88,171
4083,0.17,0.41,232
4084,0.44,0.74,250
4085,0.52,0.55,243
4086,0.66,0.62,250
4087,0.96,0.55,153
4088,0.19,0.5,126
4089,0.86,1,192
4090,0.65,0.57,137
4091,0.61,0.97,199
4092,0.53,0.96,181
4093,0.14,0.76,260
4094,0.74,1,199
4095,0.47,0.62,171
4096,0.6,0.56,260
4097,0.81,0.58,243
4098,0.95,0.59,154
4099,0.98,0.8,201
4100,0.52,0.8,234
4101,1,0.97,216
4102,0.16,0.74,205
4103,0.19,0.83,225
4104,0.94,0.87,229
4105,0.58,0.43,132
4106,0.92,0.69,180
4107,0.65,0.8,164
4108,0.74,0.74,175
4109,0.6,0.53,103
4110,1,1,142
4111,0.81,0.96,212
4112,0.54,0.67,129
4113,0.18,0.81,140
4114,0.82,0.88,149
4115,0.9,0.96,258
4116,0.62,0.62,136
4117,0.77,0.76,216
4118,0.58,0.86,151
4119,0.27,0.47,217
4120,0.78,0.72,219
4121,0.98,0.66,150
4122,0.75,0.5,98
4123,0.74,0.67,140
4124,0.9,0.99,259
4125,0.73,0.71,215
4126,0.9,0.62,258
4127,0.68,0.91,162
4128,0.9,0.74,260
4129,0.64,0.93,198
4130,0.63,0.9,242
4131,0.87,0.89,219
4132,0.6,0.55,204
4133,0.7,0.74,157
4134,0.15,0.94,244
4135,0.45,0.75,122
4136,0.43,0.9,282
4137,0.92,0.46,195
4138,0.72,0.81,134
4139,0.94,0.84,210
4140,0.74,0.52,170
4141,0.48,0.71,140
4142,0.84,0.76,215
4143,0.53,0.86,150
4144,0.45,0.88,268
4145,0.95,0.67,270
4146,0.95,0.58,163
4147,0.7,0.85,188
